network,policy,X0_frac,I0,beta_I,ratio,T,X_final_mean,X_final_median,X_final_sd,P_high,t_to_0p8_mean,t_to_0p8_mean_cond,t80_censored_mean,t80_censored_median,dP_high,dX_final,dt80_cens,dt80_cond,cost,dP_per_cost
small_world,"seed[t=80,frac=0.02]",0.15,0.05,2.0,2.1,250,0.24,0.0,0.4270831300812524,0.24,7.166666666666667,7.166666666666667,192.48,251.0,0.0,0.0,0.0,0.0,0.02,0.0
small_world,"seed[t=80,frac=0.05]",0.15,0.05,2.0,2.1,250,0.28,0.0,0.44899888641287294,0.28,18.428571428571427,18.428571428571427,185.88,251.0,0.040000000000000036,0.040000000000000036,-6.599999999999994,11.26190476190476,0.05,0.8000000000000007
small_world,"seed[t=80,frac=0.1]",0.15,0.05,2.0,2.1,250,0.52,1.0,0.4995998398718719,0.52,49.76923076923077,49.76923076923077,146.36,87.0,0.28,0.28,-46.119999999999976,42.6025641025641,0.1,2.8000000000000003
ER,baseline,0.35,0.05,2.0,2.1,250,0.20620000000000002,0.07,0.3507571239476114,0.16,2.5,2.5,211.24,251.0,0.0,0.0,0.0,0.0,0.0,
ER,"subsidy[0-60,da0=0.2]",0.35,0.05,2.0,2.1,250,0.6714,1.0,0.438867907234056,0.64,2.625,2.625,92.04,4.0,0.48,0.46519999999999995,-119.2,0.125,12.0,0.04
ER,"subsidy[0-60,da0=0.4]",0.35,0.05,2.0,2.1,250,0.8572,1.0,0.3271424154706937,0.84,2.0952380952380953,2.0952380952380953,41.92,2.0,0.6799999999999999,0.6509999999999999,-169.32,-0.40476190476190466,24.0,0.028333333333333332
ER,"subsidy[0-60,da0=0.6]",0.35,0.05,2.0,2.1,250,0.9998,1.0,0.0009797958971132722,1.0,1.44,1.44,1.44,1.0,0.84,0.7936,-209.8,-1.06,36.0,0.02333333333333333
ER,"subsidy[20-80,da0=0.2]",0.35,0.05,2.0,2.1,250,0.24059999999999998,0.07,0.3832448825490042,0.2,7.0,7.0,202.2,251.0,0.04000000000000001,0.03439999999999996,-9.04000000000002,4.5,12.0,0.003333333333333334
ER,"subsidy[20-80,da0=0.4]",0.35,0.05,2.0,2.1,250,0.3418,0.07,0.4526894741431482,0.32,13.5,13.5,175.0,251.0,0.16,0.13559999999999997,-36.24000000000001,11.0,24.0,0.006666666666666667
ER,"subsidy[20-80,da0=0.6]",0.35,0.05,2.0,2.1,250,0.3428,0.07,0.45220367092716085,0.32,12.875,12.875,174.8,251.0,0.16,0.13659999999999997,-36.44,10.375,36.0,0.0044444444444444444
ER,"subsidy[60-120,da0=0.2]",0.35,0.05,2.0,2.1,250,0.24059999999999998,0.07,0.3832448825490042,0.2,15.0,15.0,203.8,251.0,0.04000000000000001,0.03439999999999996,-7.439999999999998,12.5,12.0,0.003333333333333334
ER,"subsidy[60-120,da0=0.4]",0.35,0.05,2.0,2.1,250,0.3418,0.07,0.4526894741431482,0.32,33.5,33.5,181.4,251.0,0.16,0.13559999999999997,-29.840000000000003,31.0,24.0,0.006666666666666667
ER,"subsidy[60-120,da0=0.6]",0.35,0.05,2.0,2.1,250,0.3428,0.07,0.45220367092716085,0.32,32.875,32.875,181.2,251.0,0.16,0.13659999999999997,-30.04000000000002,30.375,36.0,0.0044444444444444444
ER,"seed[t=10,frac=0.02]",0.35,0.05,2.0,2.1,250,0.23939999999999997,0.07,0.3834796474390786,0.2,4.6,4.6,201.72,251.0,0.04000000000000001,0.03319999999999995,-9.52000000000001,2.0999999999999996,0.02,2.0000000000000004
ER,"seed[t=10,frac=0.05]",0.35,0.05,2.0,2.1,250,0.30839999999999995,0.07,0.4332821713387247,0.28,7.714285714285714,7.714285714285714,182.88,251.0,0.12000000000000002,0.10219999999999993,-28.360000000000014,5.214285714285714,0.05,2.4000000000000004
ER,"seed[t=10,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,9.25,9.25,134.96,251.0,0.31999999999999995,0.2874,-76.28,6.75,0.1,3.1999999999999993
ER,"seed[t=40,frac=0.02]",0.35,0.05,2.0,2.1,250,0.23939999999999997,0.07,0.3834796474390786,0.2,10.6,10.6,202.92,251.0,0.04000000000000001,0.03319999999999995,-8.320000000000022,8.1,0.02,2.0000000000000004
ER,"seed[t=40,frac=0.05]",0.35,0.05,2.0,2.1,250,0.30839999999999995,0.07,0.4332821713387247,0.28,20.428571428571427,20.428571428571427,186.44,251.0,0.12000000000000002,0.10219999999999993,-24.80000000000001,17.928571428571427,0.05,2.4000000000000004
ER,"seed[t=40,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,29.25,29.25,144.56,251.0,0.31999999999999995,0.2874,-66.68,26.75,0.1,3.1999999999999993
ER,"seed[t=80,frac=0.02]",0.35,0.05,2.0,2.1,250,0.23939999999999997,0.07,0.3834796474390786,0.2,18.6,18.6,204.52,251.0,0.04000000000000001,0.03319999999999995,-6.719999999999999,16.1,0.02,2.0000000000000004
ER,"seed[t=80,frac=0.05]",0.35,0.05,2.0,2.1,250,0.30839999999999995,0.07,0.4332821713387247,0.28,37.57142857142857,37.57142857142857,191.24,251.0,0.12000000000000002,0.10219999999999993,-20.0,35.07142857142857,0.05,2.4000000000000004
ER,"seed[t=80,frac=0.1]",0.35,0.05,2.0,2.1,250,0.4936,0.12,0.4870493198845472,0.48,55.916666666666664,55.916666666666664,157.36,251.0,0.31999999999999995,0.2874,-53.879999999999995,53.416666666666664,0.1,3.1999999999999993
BA,baseline,0.39999999999999997,0.05,2.0,2.1,250,0.41659999999999997,0.04,0.4786245292502255,0.4,0.6,0.6,150.84,251.0,0.0,0.0,0.0,0.0,0.0,
BA,"subsidy[0-60,da0=0.2]",0.39999999999999997,0.05,2.0,2.1,250,0.4984,0.265,0.4846229874861489,0.48,0.4166666666666667,0.4166666666666667,130.72,251.0,0.07999999999999996,0.08180000000000004,-20.120000000000005,-0.1833333333333333,12.0,0.006666666666666664
BA,"subsidy[0-60,da0=0.4]",0.39999999999999997,0.05,2.0,2.1,250,0.503,0.275,0.4804185675012988,0.48,0.3333333333333333,0.3333333333333333,130.68,251.0,0.07999999999999996,0.08640000000000003,-20.159999999999997,-0.26666666666666666,24.0,0.003333333333333332
BA,"subsidy[0-60,da0=0.6]",0.39999999999999997,0.05,2.0,2.1,250,0.583,1.0,0.47364332572094797,0.56,0.7142857142857143,0.7142857142857143,110.84,2.0,0.16000000000000003,0.1664,-40.0,0.11428571428571432,36.0,0.004444444444444445
BA,"subsidy[20-80,da0=0.2]",0.39999999999999997,0.05,2.0,2.1,250,0.41840000000000005,0.04,0.47770643705104077,0.4,0.6,0.6,150.84,251.0,0.0,0.0018000000000000793,0.0,0.0,12.0,0.0
BA,"subsidy[20-80,da0=0.4]",0.39999999999999997,0.05,2.0,2.1,250,0.41879999999999995,0.04,0.4775819929603711,0.4,0.6,0.6,150.84,251.0,0.0,0.0021999999999999797,0.0,0.0,24.0,0.0
BA,"subsidy[20-80,da0=0.6]",0.39999999999999997,0.05,2.0,2.1,250,0.41980000000000006,0.045,0.47719907795384514,0.4,0.6,0.6,150.84,251.0,0.0,0.0032000000000000917,0.0,0.0,36.0,0.0
BA,"subsidy[60-120,da0=0.2]",0.39999999999999997,0.05,2.0,2.1,250,0.41840000000000005,0.04,0.47770643705104077,0.4,0.6,0.6,150.84,251.0,0.0,0.0018000000000000793,0.0,0.0,12.0,0.0
BA,"subsidy[60-120,da0=0.4]",0.39999999999999997,0.05,2.0,2.1,250,0.41879999999999995,0.04,0.4775819929603711,0.4,0.6,0.6,150.84,251.0,0.0,0.0021999999999999797,0.0,0.0,24.0,0.0
BA,"subsidy[60-120,da0=0.6]",0.39999999999999997,0.05,2.0,2.1,250,0.41980000000000006,0.045,0.47719907795384514,0.4,0.6,0.6,150.84,251.0,0.0,0.0032000000000000917,0.0,0.0,36.0,0.0
BA,"seed[t=10,frac=0.02]",0.39999999999999997,0.05,2.0,2.1,250,0.4176,0.045,0.47849789968191087,0.4,0.6,0.6,150.84,251.0,0.0,0.0010000000000000564,0.0,0.0,0.02,0.0
BA,"seed[t=10,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,6.090909090909091,6.090909090909091,35.48,10.0,0.48,0.4780000000000001,-115.36000000000001,5.490909090909091,0.05,9.6
BA,"seed[t=10,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,6.24,6.24,6.24,10.0,0.6,0.5834,-144.6,5.640000000000001,0.1,5.999999999999999
BA,"seed[t=40,frac=0.02]",0.39999999999999997,0.05,2.0,2.1,250,0.418,0.045,0.47837851122306907,0.4,0.6,0.6,150.84,251.0,0.0,0.0014000000000000123,0.0,0.0,0.02,0.0
BA,"seed[t=40,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,22.454545454545453,22.454545454545453,49.88,40.0,0.48,0.4780000000000001,-100.96000000000001,21.854545454545452,0.05,9.6
BA,"seed[t=40,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,24.24,24.24,24.24,40.0,0.6,0.5834,-126.60000000000001,23.639999999999997,0.1,5.999999999999999
BA,"seed[t=80,frac=0.02]",0.39999999999999997,0.05,2.0,2.1,250,0.418,0.045,0.47837851122306907,0.4,0.6,0.6,150.84,251.0,0.0,0.0014000000000000123,0.0,0.0,0.02,0.0
BA,"seed[t=80,frac=0.05]",0.39999999999999997,0.05,2.0,2.1,250,0.8946000000000001,1.0,0.28781216096614126,0.88,44.27272727272727,44.27272727272727,69.08,80.0,0.48,0.4780000000000001,-81.76,43.67272727272727,0.05,9.6
BA,"seed[t=80,frac=0.1]",0.39999999999999997,0.05,2.0,2.1,250,1.0,1.0,0.0,1.0,48.24,48.24,48.24,80.0,0.6,0.5834,-102.6,47.64,0.1,5.999999999999999
